Borough,Neighbourhood,Latitude,Longitude
East York,Thorncliffe Park,43.7053689,-79.34937190000001
East York,"East Toronto, Broadview North (Old East York)",43.685347,-79.3381065
East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188
East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.31557159999998
East Toronto,Studio District,43.6595255,-79.340923
Central Toronto,Lawrence Park,43.7280205,-79.3887901
Central Toronto,Davisville North,43.7127511,-79.3901975
Central Toronto,"North Toronto West,  Lawrence Park",43.7153834,-79.40567840000001
Central Toronto,Davisville,43.7043244,-79.3887901
Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.38315990000001
Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.68641229999999,-79.4000493
Downtown Toronto,Rosedale,43.6795626,-79.37752940000001
Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753
Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001
Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359
Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999
Downtown Toronto,St. James Town,43.6514939,-79.3754179
Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064
Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
Downtown Toronto,"Richmond, Adelaide, King",43.65057120000001,-79.3845675
Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.38175229999999
Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.38157640000001
Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.37981690000001
North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497
Central Toronto,Roselawn,43.7116948,-79.41693559999999
Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.6969476,-79.41130720000001
Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.40567840000001
Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493
Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493
Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199
Downtown Toronto,Stn A PO Boxes,43.6464352,-79.37484599999999
Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802
North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999
North York,Glencairn,43.709577,-79.44507259999999
York,Humewood-Cedarvale,43.6937813,-79.42819140000002
York,Caledonia-Fairbanks,43.6890256,-79.453512
Downtown Toronto,Christie,43.669542,-79.4225637
West Toronto,"Dufferin, Dovercourt Village",43.66900510000001,-79.4422593
West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497
West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.42819140000002
North York,"North Park, Maple Leaf Park, Upwood Park",43.713756200000006,-79.4900738
York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.47601329999999
York,"Runnymede, The Junction North",43.67318529999999,-79.48726190000001
West Toronto,"High Park, The Junction South",43.6616083,-79.46476329999999
West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325
West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499
Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938
Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999
East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.6627439,-79.321558
Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.50132070000001
Etobicoke,"Alderwood, Long Branch",43.60241370000001,-79.54348409999999
Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.653653600000005,-79.5069436
Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.49850909999999
Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.52099940000001
Etobicoke,"Islington Avenue, Humber Valley Village",43.6678556,-79.53224240000002
Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.55472440000001
Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.57720079999999
North York,Humber Summit,43.7563033,-79.56596329999999
North York,"Humberlea, Emery",43.7247659,-79.53224240000002
York,Weston,43.706876,-79.51818840000001
Etobicoke,Westmount,43.696319,-79.53224240000002
Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.55472440000001
Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.739416399999996,-79.5884369
Etobicoke,"Northwest, West Humber - Clairville",43.706748299999994,-79.5940544
